"","vivienda","hogar","ind","Tiempo_labores_no_rem"
"839",1587,1,4,0
"840",1587,1,5,0
"841",1587,1,7,0
"842",1589,1,1,0
"843",1589,1,2,460
"844",1591,1,1,240
"845",1591,1,2,240
"846",1592,1,1,410
"847",1592,1,2,140
"848",1592,1,3,120
"849",1597,1,1,0
"850",1597,1,2,375
"851",1600,1,1,200
"852",1600,1,2,0
"853",1600,1,3,20
"854",1600,1,4,90
"855",1600,1,5,0
"856",1601,1,1,360
"857",1601,1,2,0
"858",1601,1,3,0
"859",1601,1,4,90
"860",1604,1,1,4
"861",1604,1,2,0
"862",1605,1,1,41
"863",1605,1,2,130
"864",1605,1,3,165
"865",1605,1,4,10
"866",1606,1,1,0
"867",1606,1,2,300
"868",1606,1,3,0
"869",1606,1,4,290
"870",1606,1,5,0
"871",1607,1,1,410
"872",1607,1,2,360
"873",1607,1,3,12
"874",1607,1,4,345
"875",1607,1,6,45
"876",1610,1,1,60
"877",1610,1,2,0
"878",1610,1,3,0
"879",1612,1,1,0
"880",1612,1,2,490
"881",1612,1,3,0
"882",1614,1,1,315
"883",1615,1,1,120
"884",1616,1,1,0
"885",1616,1,2,450
"886",1620,1,1,30
"887",1622,1,1,300
"888",1622,1,2,180
"889",1623,1,1,360
"890",1623,1,2,0
"891",1624,1,1,120
"892",1624,1,2,380
"893",1626,1,1,0
"894",1626,1,2,200
"895",1627,1,1,180
"896",1628,1,1,150
"897",1629,1,1,240
"898",1629,1,2,0
"899",1629,1,3,0
"900",1630,1,1,120
"901",1630,1,2,180
"902",1630,1,3,0
"903",1631,1,1,20
"904",1631,1,2,135
"905",1631,1,3,10
"906",1631,1,4,0
"907",1631,1,5,30
"908",1632,1,1,30
"909",1632,1,2,360
"910",1632,1,3,120
"911",1635,1,1,95
"912",1635,1,2,140
"913",1635,1,3,3
"914",1636,1,1,420
"915",1636,1,2,20
"916",1638,1,1,655
"917",1643,1,1,130
"918",1643,1,2,300
"919",1643,1,3,0
"920",1643,1,4,0
"921",1643,1,5,0
"922",1644,1,1,390
"923",1644,1,2,0
"924",1644,1,3,30
"925",1647,1,1,60
"926",1647,1,2,420
"927",1648,1,1,120
"928",1648,1,2,570
"929",1648,1,3,270
"930",1648,1,4,0
"931",1648,1,5,90
"932",1648,1,6,0
"933",1648,1,9,240
"934",1651,1,1,0
"935",1651,1,2,540
"936",1652,1,1,0
"937",1654,1,1,105
"938",1654,1,2,155
"939",1654,1,3,0
"940",1654,1,4,0
"941",1658,1,1,30
"942",1658,1,2,120
"943",1661,1,1,180
"944",1661,1,2,0
"945",1662,1,1,60
"946",1662,1,2,690
"947",1662,1,3,0
"948",1662,1,4,60
"949",1662,1,5,0
"950",1663,1,1,60
"951",1663,1,2,75
"952",1663,1,3,0
"953",1664,1,1,980
"954",1665,1,1,360
"955",1665,1,2,540
"956",1665,1,3,0
"957",1667,1,1,0
"958",1667,1,2,270
"959",1667,1,3,0
"960",1667,1,4,80
"961",1669,1,1,960
"962",1669,1,2,0
"963",1670,1,1,38
"964",1670,1,2,450
"965",1670,1,3,0
"966",1670,1,4,90
"967",1670,1,5,0
"968",1673,1,1,0
"969",1673,1,2,440
"970",1675,1,1,20
"971",1675,1,2,110
"972",1676,1,1,0
"973",1676,1,2,630
"974",1676,1,3,250
"975",1676,1,4,150
"976",1676,1,5,150
"977",1677,1,1,420
"978",1677,1,2,0
"979",1677,1,3,0
"980",1680,1,1,110
"981",1680,1,2,30
"982",1680,1,4,0
"983",1682,1,1,540
"984",1682,1,2,5
"985",1682,1,3,0
"986",1685,1,1,10
"987",1685,1,2,180
"988",1685,1,3,1
"989",1685,1,4,210
"990",1688,1,1,0
"991",1688,1,2,480
"992",1689,1,1,140
"993",1690,1,1,230
"994",1690,1,2,0
"995",1695,1,1,500
"996",1698,1,1,10
"997",1699,1,1,0
"998",1699,1,2,420
"999",1703,1,1,0
"1000",1703,1,2,240
"1001",1703,1,3,0
"1002",1704,1,1,300
"1003",1705,1,1,305
"1004",1711,1,1,0
"1005",1711,1,2,0
"1006",1711,1,3,0
"1007",1719,1,1,0
"1008",1719,1,2,600
"1009",1719,1,3,0
"1010",1719,1,4,190
"1011",1719,1,5,0
"1012",1719,1,6,0
"1013",1719,1,7,0
"1014",1720,1,1,300
"1015",1720,1,2,0
"1016",1720,1,3,0
"1017",1720,1,4,330
"1018",1726,1,1,50
"1019",1726,1,2,690
"1020",1726,1,3,0
"1021",1729,1,1,215
"1022",1729,1,2,25
"1023",1729,1,3,58
"1024",1729,1,4,0
"1025",1731,1,1,0
"1026",1731,1,2,435
"1027",1731,1,3,0
"1028",1732,1,1,75
"1029",1736,1,1,10
"1030",1736,1,2,85
"1031",1736,1,3,350
"1032",1740,1,1,300
"1033",1740,1,2,0
"1034",1742,1,1,0
"1035",1742,1,2,420
"1036",1742,1,3,60
"1037",1742,1,4,0
"1038",1745,1,1,45
"1039",1745,1,2,80
"1040",1745,1,3,0
"1041",1745,1,4,0
"1042",1749,1,1,0
"1043",1749,1,2,210
"1044",1750,1,1,250
"1045",1750,1,2,0
"1046",1751,1,1,230
"1047",1751,1,2,360
"1048",1751,1,3,0
"1049",1751,1,4,0
"1050",1752,1,1,420
"1051",1752,1,2,240
"1052",1753,1,1,390
"1053",1753,1,2,0
"1054",1753,1,3,0
"1055",1768,1,1,0
"1056",1768,1,2,330
"1057",1768,1,3,315
"1058",1768,1,4,0
"1059",1771,1,1,210
"1060",1773,1,1,60
"1061",1773,1,2,345
"1062",1774,1,1,330
"1063",1774,1,2,120
"1064",1775,1,1,150
"1065",1776,1,1,255
"1066",1776,1,2,60
"1067",1777,1,1,40
"1068",1779,1,1,0
"1069",1779,1,2,248
"1070",1782,1,1,150
"1071",1782,1,2,60
"1072",1782,1,3,180
"1073",1782,1,4,0
"1074",1783,1,1,0
"1075",1783,1,2,360
"1076",1783,1,3,0
"1077",1784,1,1,450
"1078",1784,1,2,50
"1079",1785,1,1,0
"1080",1785,1,2,270
"1081",1785,1,3,0
"1082",1785,1,4,0
"1083",1788,1,1,0
"1084",1788,1,2,170
"1085",1791,1,1,360
"1086",1793,1,1,0
"1087",1795,1,1,120
"1088",1795,1,2,540
"1089",1795,1,3,0
"1090",1795,1,4,0
"1091",1796,1,1,480
"1092",1798,1,1,180
"1093",1798,1,2,10
"1094",1800,1,1,120
"1095",1800,1,2,275
"1096",1800,1,3,0
