"","vivienda","hogar","tipo_ocupacion","subsidio","lavadora","secadora","nevera","licuadora","plancha","estufa","horno","lava_platos","aspiradora","automovil","motocicleta","servicio_dom"
"3452",8144,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3453",8145,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
"3454",8151,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
"3455",8152,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0
"3456",8156,1,3,0,1,0,1,1,1,1,1,0,0,0,0,0
"3457",8160,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"3458",8161,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"3459",8164,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"3460",8166,1,2,1,1,0,1,1,1,1,0,0,0,0,1,0
"3461",8170,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"3462",8172,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0
"3463",8177,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
"3464",8178,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0
"3465",8180,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"3466",8181,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"3467",8187,1,2,0,1,0,1,1,1,1,1,0,0,1,0,0
"3468",8188,1,3,0,1,0,1,1,1,1,1,0,0,0,0,0
"3469",8196,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
"3470",8200,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0
"3471",8201,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0
"3472",8202,1,2,0,1,1,1,1,1,1,1,0,0,1,0,0
"3473",8203,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0
"3474",8208,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0
"3475",8211,1,3,1,1,0,1,1,1,1,0,0,0,0,1,0
"3476",8213,1,3,0,1,0,1,1,1,1,1,0,0,0,0,0
"3477",8218,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0
"3478",8220,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3479",8222,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
"3480",8223,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3481",8228,1,2,0,1,0,1,1,1,1,0,0,0,1,0,0
"3482",8229,1,4,0,1,0,1,1,1,1,1,0,0,0,0,0
"3483",8230,1,3,0,0,1,1,0,1,1,0,0,0,0,0,0
"3484",8231,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3485",8233,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"3486",8234,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"3487",8237,1,3,0,1,1,1,1,0,1,0,0,0,0,0,0
"3488",8240,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
"3489",8241,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"3490",8243,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"3491",8248,1,3,0,1,1,1,1,1,1,1,0,0,0,0,0
"3492",8255,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"3493",8257,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"3494",8260,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3495",8261,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0
