"","vivienda","hogar","ind","jardin","tiempo_jardin","tiempo_esparcimiento_ninos"
"297",4607,1,3,1,0,0
"298",4612,1,2,1,0,0
"299",4615,1,5,0,0,0
"300",4618,1,7,1,0,0
"301",4631,1,4,0,0,0
"302",4637,1,4,0,0,0
"303",4641,1,5,0,0,0
"304",4641,1,6,0,0,0
"305",4641,1,7,0,0,0
"306",4643,1,5,1,0,0
"307",4647,1,2,1,2,0
"308",4650,1,4,0,0,0
"309",4683,1,5,0,0,0
"310",4695,1,4,0,0,0
"311",4698,1,4,1,2,0
"312",4704,1,4,0,0,0
"313",4705,1,6,1,2,0
"314",4718,1,2,0,0,0
"315",4733,1,3,0,0,0
"316",4735,1,6,0,0,0
"317",4751,1,4,1,0,0
"318",4767,1,5,0,0,0
"319",4777,1,5,1,0,0
"320",4785,1,3,0,0,0
"321",4798,1,4,1,10,0
"322",4801,1,4,0,0,0
"323",4806,1,3,0,0,0
"324",4810,1,2,0,0,0
"325",4811,1,2,0,0,0
"326",4813,1,5,1,0,0
"327",4818,1,5,0,0,0
"328",4829,1,4,1,0,0
"329",4835,1,3,0,0,0
"330",4844,1,4,0,0,0
"331",4853,1,3,0,0,0
"332",4861,1,6,0,0,0
"333",4864,1,3,0,0,0
"334",4876,1,4,0,0,0
"335",4878,1,4,0,0,0
"336",4886,1,2,1,0,0
"337",4886,1,3,1,0,0
"338",4894,1,2,1,0,0
"339",4898,1,4,0,0,0
"340",4901,1,3,1,4,0
"341",4901,1,4,0,0,0
"342",4903,1,5,0,0,0
"343",4916,1,5,0,0,0
"344",4928,1,4,0,0,0
"345",4928,1,5,0,0,0
"346",4961,1,3,0,0,0
"347",4963,1,5,1,0,0
"348",4985,1,3,0,0,0
"349",4987,1,4,0,0,0
"350",4989,1,4,0,0,0
"351",4999,1,4,0,0,0
"352",5007,1,5,0,0,0
"353",5018,1,5,1,0,0
"354",5033,1,3,1,0,0
"355",5035,1,5,0,0,0
"356",5035,1,6,0,0,0
"357",5042,1,5,0,0,0
"358",5062,1,3,1,0,0
"359",5079,1,4,0,0,0
"360",5079,1,5,0,0,0
"361",5079,1,6,0,0,0
"362",5082,1,4,0,0,0
"363",5083,1,7,0,0,0
"364",5097,1,6,1,0,0
"365",5097,1,8,1,0,0
"366",5097,1,11,1,0,0
"367",5109,1,4,0,0,0
"368",5112,1,5,1,0,0
"369",5113,1,4,1,0,0
"370",5133,1,4,0,0,0
"371",5142,1,4,0,0,0
"372",5144,1,4,0,0,0
"373",5150,1,4,0,0,0
"374",5153,1,3,1,0,0
"375",5161,1,4,1,0,0
"376",5161,1,5,0,0,0
"377",5175,1,3,1,0,0
"378",5180,1,5,1,0,0
"379",5181,1,10,0,0,0
"380",5194,1,4,0,0,0
"381",5200,1,3,1,0,0
"382",5204,1,5,1,0,0
"383",5211,1,4,0,0,0
"384",5220,1,4,0,0,0
"385",5230,1,3,0,0,0
"386",5233,1,7,0,0,0
"387",5248,1,3,0,0,0
"388",5261,1,4,0,0,0
"389",5279,1,4,0,0,0
"390",5300,1,4,0,0,0
"391",5309,1,3,0,0,0
"392",5326,1,4,0,0,0
"393",5363,1,3,0,0,0
"394",5374,1,3,1,0,0
"395",5378,1,3,1,0,0
"396",5379,1,5,0,0,0
"397",5380,1,3,0,0,0
"398",5403,2,3,0,0,0
"399",5412,1,10,1,0,0
"400",5425,1,4,0,0,0
"401",5434,1,2,1,0,0
"402",5434,1,3,1,0,0
"403",5439,1,5,0,0,0
"404",5441,1,4,0,0,0
"405",5450,1,4,0,0,0
"406",5480,1,5,0,0,0
"407",5487,1,2,0,0,0
"408",5522,1,4,0,0,0
"409",5533,1,4,0,0,0
"410",5539,1,3,0,0,0
"411",5549,1,4,0,0,0
"412",5550,1,3,0,0,0
"413",5555,1,3,0,0,0
"414",5559,1,3,0,0,0
"415",5590,1,5,1,0,0
"416",5604,1,6,0,0,0
"417",5613,1,3,0,0,0
"418",5619,1,4,1,0,0
"419",5625,1,3,0,0,0
"420",5628,2,5,0,0,0
"421",5644,1,2,0,0,0
"422",5650,1,4,0,0,0
"423",5656,1,3,1,0,0
"424",5668,1,3,0,0,0
"425",5675,1,8,0,0,0
"426",5688,1,3,1,0,0
"427",5688,1,4,1,0,0
"428",5688,1,5,0,0,0
"429",5712,1,7,0,0,0
"430",5720,1,4,1,1,0
"431",5726,1,5,1,0,0
"432",5728,1,4,0,0,0
"433",5735,1,4,0,0,0
"434",5738,1,4,0,0,0
"435",5740,1,6,1,0,0
"436",5742,1,3,0,0,0
"437",5746,1,5,1,0,0
"438",5764,1,5,0,0,0
"439",5773,1,3,0,0,0
"440",5779,1,11,1,0,0
"441",5781,1,3,0,0,0
"442",5781,1,4,0,0,0
"443",5783,1,4,0,0,0
"444",5798,1,4,0,0,0
"445",5802,1,4,1,0,0
"446",5805,1,4,0,0,0
"447",5825,1,3,0,0,0
"448",5842,1,3,0,0,0
"449",5860,1,4,1,0,0
"450",5865,1,4,1,2,0
"451",5871,1,3,0,0,0
"452",5884,1,4,0,0,0
"453",5891,1,3,0,0,0
"454",5918,1,10,1,0,0
"455",5921,1,4,1,2,0
"456",5929,1,3,0,0,0
"457",5932,1,4,0,0,0
"458",5936,1,3,0,0,0
"459",5950,1,3,0,0,0
"460",5954,1,4,0,0,0
"461",5954,1,5,0,0,0
"462",5963,1,4,0,0,0
"463",5971,1,3,1,0,0
"464",6030,1,4,0,0,0
"465",6037,1,4,0,0,0
"466",6040,1,3,1,6,0
"467",6045,1,4,1,2,0
"468",6054,1,3,1,0,0
"469",6055,1,5,0,0,0
"470",6056,1,6,0,0,0
"471",6058,1,3,0,0,0
"472",6065,1,3,1,0,0
"473",6068,1,2,0,0,0
"474",6068,1,3,0,0,0
"475",6069,1,4,0,0,0
"476",6077,1,3,1,1,0
"477",6090,1,3,0,0,0
"478",6090,1,4,0,0,0
"479",6097,1,3,0,0,0
"480",6104,1,7,0,0,0
"481",6108,2,3,1,0,0
"482",6329,1,3,0,0,0
"483",6335,1,5,1,0,0
"484",6335,1,6,1,0,0
"485",6338,1,6,0,0,0
"486",6340,1,3,0,0,0
"487",6344,1,3,0,0,0
"488",6363,1,3,0,0,0
"489",6363,1,4,0,0,0
"490",6365,1,2,0,0,0
"491",6365,1,3,0,0,0
"492",6366,1,5,0,0,0
"493",6369,1,3,1,0,0
"494",6369,1,4,1,0,0
"495",6394,1,4,1,0,0
"496",6396,1,5,1,0,0
"497",6408,1,2,0,0,0
"498",6408,1,3,0,0,0
"499",6419,1,4,1,0,0
"500",6419,1,5,0,0,0
"501",6424,1,3,1,0,0
"502",6425,1,5,0,0,0
"503",6441,1,5,1,0,0
