"","vivienda","tipo_vivienda","electricidad","acueducto","alcantarillado","recoleccion_basuras","internet","gas","mes_ref","dia_ref","cabecera","region"
"21439",38208,1,1,1,1,1,1,1,2,6,1,2
"21440",38209,1,1,1,1,1,0,0,2,2,1,3
"21441",38210,2,1,1,1,1,1,1,1,5,1,2
"21442",38212,2,1,1,1,1,0,1,2,1,1,3
"21443",38213,1,1,1,1,1,1,1,2,7,1,3
"21444",38214,1,1,1,1,1,1,1,2,2,1,3
"21445",38216,1,1,1,1,1,0,1,2,2,1,1
"21446",38217,2,1,1,1,1,1,1,2,3,1,4
"21447",38220,1,1,1,0,1,1,0,2,4,1,3
"21448",38224,2,1,1,1,1,1,1,2,1,1,4
"21449",38225,1,1,1,1,1,1,1,2,7,1,2
"21450",38226,1,1,1,1,1,1,1,2,1,1,4
"21451",38229,1,1,1,1,1,1,1,2,7,1,2
"21452",38230,2,1,1,1,1,1,1,1,1,1,1
"21453",38231,1,1,1,0,0,0,1,2,2,0,1
"21454",38232,2,1,1,1,1,1,1,2,3,1,3
"21455",38233,2,1,1,0,0,0,0,2,3,0,1
"21456",38234,1,1,1,1,1,0,1,2,7,1,1
"21457",38236,2,1,1,1,1,1,1,2,3,1,2
"21458",38237,1,1,1,1,1,1,1,2,7,1,4
"21459",38238,1,1,1,1,0,0,1,2,3,0,2
"21460",38239,1,1,1,0,0,0,0,2,2,0,1
"21461",38241,1,1,1,1,1,0,1,2,1,1,3
"21462",38242,1,1,0,0,0,0,0,12,7,0,3
"21463",38243,1,1,1,1,1,0,0,2,1,1,3
"21464",38247,1,1,1,1,1,0,1,2,2,1,5
"21465",38248,1,1,1,1,0,0,1,2,2,0,2
"21466",38249,1,1,1,1,1,1,1,2,2,1,4
"21467",38250,1,1,1,1,1,1,1,2,2,1,1
"21468",38251,3,1,1,1,1,1,1,2,7,1,5
"21469",38252,1,1,1,0,0,0,0,2,2,0,1
"21470",38255,1,1,1,1,1,1,1,1,1,1,2
"21471",38256,2,1,1,1,1,1,1,2,4,1,5
"21472",38257,2,1,1,1,1,1,1,2,1,1,2
"21473",38258,1,1,1,1,1,1,1,2,3,1,2
"21474",38261,2,1,1,1,1,1,1,2,7,1,5
"21475",38262,2,1,1,1,1,1,1,2,1,1,4
"21476",38263,1,1,1,1,1,1,1,2,2,1,5
"21477",38264,2,1,1,1,1,1,1,2,7,1,2
"21478",38265,2,1,1,1,1,1,1,2,2,1,2
"21479",38266,1,1,1,1,1,1,1,2,2,1,3
"21480",38269,2,1,0,1,1,1,0,2,2,1,6
"21481",38270,1,1,1,1,1,1,1,2,1,1,4
"21482",38272,2,1,0,0,1,0,1,2,2,1,1
"21483",38274,2,1,1,1,1,1,1,2,7,1,5
"21484",38275,2,1,1,1,1,1,1,2,7,1,5
"21485",38276,2,1,1,1,1,0,1,2,4,1,5
"21486",38277,2,1,1,1,1,0,1,2,1,1,3
"21487",38278,1,1,1,1,1,0,1,2,5,1,2
"21488",38279,2,1,1,1,1,1,1,2,2,1,3
"21489",38280,2,1,1,1,1,1,1,2,2,1,4
"21490",38282,2,1,1,1,1,0,1,2,2,1,2
"21491",38283,1,1,1,0,0,0,0,12,5,0,3
"21492",38284,2,1,1,1,1,1,1,2,3,1,4
"21493",38285,2,1,1,1,1,1,1,2,2,1,1
"21494",38286,1,0,1,0,1,0,0,2,1,1,3
"21495",38288,1,1,1,1,1,0,1,2,3,0,2
"21496",38289,1,1,0,0,1,1,0,2,2,1,4
"21497",38290,2,1,1,1,1,1,1,2,1,1,5
"21498",38291,1,1,1,0,1,0,1,2,1,0,2
"21499",38292,2,1,1,1,1,1,1,2,2,1,5
"21500",38294,1,1,1,1,1,0,1,2,6,1,1
"21501",38295,1,1,1,1,0,0,1,2,4,1,1
"21502",38296,1,1,1,1,1,0,1,2,3,0,2
"21503",38298,3,1,1,1,1,0,0,2,1,1,1
"21504",38299,2,1,1,1,1,1,1,12,1,1,3
"21505",38301,2,1,1,0,1,1,1,2,6,1,5
"21506",38302,1,1,1,1,1,0,1,2,2,1,1
"21507",38303,2,1,1,1,1,1,1,2,3,1,4
"21508",38304,1,1,1,1,1,1,1,2,2,1,1
"21509",38305,2,1,1,1,1,1,1,2,2,1,3
"21510",38306,2,1,1,1,1,1,1,2,2,1,5
"21511",38307,1,1,1,1,1,0,1,2,6,1,2
"21512",38308,2,1,1,1,1,1,1,2,4,1,5
"21513",38309,1,1,1,0,1,1,1,2,1,0,2
"21514",38311,1,1,1,1,1,0,1,2,2,1,3
"21515",38312,2,1,0,0,1,1,1,2,1,1,6
"21516",38315,1,1,1,1,1,0,1,2,2,1,4
"21517",38318,1,1,1,1,1,1,1,2,2,1,4
"21518",38319,1,1,1,1,1,0,1,12,1,1,3
"21519",38320,2,1,1,1,1,0,1,2,2,1,5
"21520",38321,1,1,1,1,1,0,1,2,3,0,2
"21521",38322,2,1,1,1,0,0,0,2,2,0,2
"21522",38323,1,1,1,1,1,0,1,2,4,1,2
"21523",38324,1,1,1,1,1,0,1,2,1,1,1
"21524",38325,2,1,1,1,1,1,1,2,2,1,5
"21525",38327,2,1,1,1,1,1,1,2,2,1,2
"21526",38328,1,1,1,0,1,0,1,2,2,0,2
"21527",38330,2,1,1,1,1,1,1,2,4,1,5
"21528",38333,2,1,1,1,1,1,1,2,3,1,4
"21529",38334,1,1,0,0,0,1,0,2,6,0,2
"21530",38335,2,1,1,1,1,1,1,2,2,1,1
"21531",38337,2,1,1,1,1,1,1,2,1,1,1
"21532",38338,2,1,1,1,1,1,1,2,1,1,2
"21533",38339,1,1,1,1,1,1,1,2,2,1,1
"21534",38340,1,1,1,0,1,0,1,2,1,0,2
"21535",38341,2,1,1,1,1,0,1,2,4,1,5
"21536",38344,1,1,1,1,1,1,1,2,3,0,2
"21537",38345,1,1,1,1,1,0,1,2,1,0,2
"21538",38346,2,1,1,1,1,1,1,2,2,1,5
"21539",38348,2,1,1,1,1,1,1,2,5,1,5
"21540",38349,1,1,1,0,1,0,1,2,3,0,2
"21541",38350,2,1,1,1,1,1,1,2,1,1,1
"21542",38351,1,1,1,1,1,1,1,2,4,1,1
"21543",38352,2,1,1,1,1,1,1,2,3,1,5
"21544",38354,1,1,1,1,1,0,0,2,3,0,2
"21545",38355,2,1,1,1,1,1,1,2,6,1,5
"21546",38356,1,1,1,1,1,0,0,2,2,1,1
"21547",38357,1,1,0,0,1,0,0,2,2,0,1
"21548",38358,2,1,0,0,0,0,0,2,2,0,1
"21549",38359,1,1,1,1,1,0,1,2,3,1,4
"21550",38360,1,1,0,0,1,0,0,2,2,0,1
"21551",38361,2,1,1,1,1,0,1,2,3,1,5
"21552",38364,1,1,1,0,1,1,0,1,3,1,4
"21553",38365,2,1,1,0,1,1,0,1,2,1,4
"21554",38366,1,1,1,0,1,1,0,1,5,1,4
"21555",38367,1,1,1,0,1,1,0,1,4,1,4
"21556",38369,2,1,0,0,0,0,1,2,7,0,1
"21557",38370,2,1,1,1,1,0,0,2,7,1,2
"21558",38371,2,1,0,0,1,1,1,2,7,1,6
"21559",38372,1,1,1,1,1,1,1,2,7,1,4
"21560",38373,2,1,1,0,1,1,1,2,6,1,1
"21561",38374,2,1,1,1,1,1,1,2,5,1,1
"21562",38375,1,1,1,0,1,0,0,2,6,1,2
"21563",38376,1,1,1,0,1,0,0,2,3,1,2
"21564",38378,2,1,1,1,1,1,1,2,5,1,4
"21565",38379,1,1,1,1,1,0,1,2,7,1,1
"21566",38380,2,1,0,0,1,1,0,2,6,1,6
"21567",38382,1,1,0,0,0,1,0,2,5,0,1
"21568",38383,2,1,1,1,1,1,1,2,4,1,3
"21569",38384,2,1,1,1,1,0,1,2,3,1,2
"21570",38385,1,1,1,1,1,1,1,2,7,1,1
"21571",38387,2,1,1,1,1,1,1,2,1,0,2
"21572",38389,1,1,0,0,0,0,0,2,6,0,1
"21573",38390,1,1,1,0,1,0,0,2,6,1,3
"21574",38391,1,1,1,1,1,1,1,2,1,1,4
"21575",38392,2,1,1,1,1,1,1,2,7,1,4
"21576",38393,2,1,1,1,1,0,1,2,5,1,1
"21577",38394,1,1,1,1,1,1,0,2,5,1,4
"21578",38398,1,1,1,1,1,1,1,2,7,1,1
"21579",38399,1,1,1,1,1,1,1,2,7,1,1
"21580",38400,1,1,1,1,1,1,1,2,4,1,4
"21581",38401,1,1,0,0,0,0,0,2,6,0,1
"21582",38402,1,1,1,1,1,1,1,2,4,1,2
"21583",38403,2,1,1,1,1,1,0,2,5,1,3
"21584",38404,1,1,1,0,1,0,0,2,1,1,1
"21585",38405,2,1,1,1,1,1,1,2,7,1,2
"21586",38406,2,1,1,1,1,1,1,2,4,1,2
"21587",38407,2,1,1,1,1,1,1,2,5,1,4
"21588",38408,2,1,1,1,1,1,1,2,7,1,3
"21589",38410,1,1,1,1,1,1,1,2,6,1,1
"21590",38411,1,1,1,1,1,0,1,2,4,1,4
"21591",38412,1,1,1,1,1,1,1,2,1,1,1
"21592",38414,1,1,1,1,1,1,1,2,6,1,1
"21593",38415,2,1,1,1,1,1,1,2,5,1,4
"21594",38416,2,1,1,1,1,1,1,2,5,1,3
"21595",38417,2,1,1,1,1,1,1,2,3,1,2
"21596",38418,1,1,1,1,1,0,1,2,5,1,3
"21597",38419,2,1,1,1,1,0,1,2,7,1,4
"21598",38420,2,1,1,1,1,1,1,2,6,1,4
"21599",38421,2,1,1,0,1,1,0,2,5,1,1
"21600",38424,2,1,1,1,0,1,1,2,4,1,1
"21601",38425,2,1,1,1,1,0,0,2,1,1,3
"21602",38426,1,1,1,0,0,0,1,2,6,0,2
"21603",38427,1,1,0,0,0,0,0,2,7,0,1
"21604",38428,2,1,1,1,1,1,1,2,7,1,3
"21605",38429,1,1,1,0,0,0,0,2,6,0,1
"21606",38431,2,1,1,1,1,1,1,2,6,1,3
"21607",38432,1,1,1,1,1,0,1,2,5,1,3
"21608",38433,2,1,1,1,1,1,1,2,6,1,2
"21609",38434,2,1,1,1,1,1,1,2,5,1,1
"21610",38435,1,1,1,1,1,0,1,2,4,1,1
"21611",38436,2,1,1,1,1,0,1,2,7,1,1
"21612",38437,1,1,0,0,0,0,0,2,7,0,1
"21613",38438,2,1,1,1,1,1,1,2,6,1,4
"21614",38439,1,1,1,1,1,1,1,2,7,1,1
"21615",38440,2,1,1,1,1,1,1,2,5,1,1
"21616",38441,1,1,1,1,1,1,1,2,6,1,3
"21617",38442,2,1,1,1,1,1,1,2,7,1,3
"21618",38443,2,1,1,1,1,1,1,2,1,1,3
"21619",38444,2,1,1,1,1,1,1,2,4,1,2
"21620",38445,2,1,1,0,1,1,1,2,5,1,1
"21621",38446,1,1,1,0,0,0,1,2,6,0,2
"21622",38447,2,1,1,1,1,1,1,2,7,1,1
"21623",38448,1,1,1,1,1,1,1,2,7,1,1
"21624",38450,1,1,1,1,1,0,1,2,7,1,1
"21625",38451,1,1,1,1,1,1,0,2,5,1,4
"21626",38453,2,1,0,0,1,1,0,2,6,1,6
"21627",38454,1,1,1,1,1,1,1,2,4,1,2
"21628",38455,2,1,1,1,1,1,1,2,1,1,2
"21629",38456,2,1,1,1,1,1,1,2,6,1,2
"21630",38457,2,1,1,1,1,0,1,2,6,1,1
"21631",38460,2,1,1,1,1,1,1,2,7,1,3
"21632",38461,1,1,1,1,1,1,1,2,1,1,3
"21633",38462,1,1,1,1,1,1,1,2,7,1,3
"21634",38463,1,1,1,1,1,1,1,2,5,1,1
"21635",38464,1,1,1,1,1,0,0,2,5,1,1
"21636",38465,1,1,0,0,0,0,0,2,5,0,1
"21637",38466,1,1,1,1,1,1,1,2,7,1,3
"21638",38467,2,1,1,1,1,0,1,2,7,1,3
"21639",38468,1,1,1,0,0,0,0,2,5,0,1
"21640",38470,2,1,1,1,1,0,0,2,1,1,2
"21641",38471,1,1,0,0,1,0,1,2,4,1,1
"21642",38472,1,1,1,1,1,1,1,2,1,1,2
"21643",38473,2,1,1,1,1,1,1,2,6,1,3
"21644",38474,1,1,1,1,1,1,1,2,6,1,4
"21645",38475,2,1,1,1,1,0,1,2,1,1,4
"21646",38476,1,1,1,0,0,0,1,2,7,0,1
"21647",38477,2,1,1,1,1,1,1,2,5,1,3
"21648",38478,1,1,0,0,0,1,0,2,2,0,2
"21649",38479,1,1,1,1,1,1,1,2,6,1,2
"21650",38480,2,1,1,1,1,1,0,2,7,1,4
"21651",38481,1,1,1,1,1,1,1,2,6,1,1
"21652",38482,1,1,1,0,1,0,0,2,4,1,3
"21653",38483,2,1,1,1,1,0,0,2,2,1,2
"21654",38484,1,1,1,1,1,1,1,2,6,1,1
"21655",38485,2,1,1,1,1,1,1,2,6,1,2
"21656",38486,1,1,1,1,1,0,1,2,6,1,2
"21657",38487,2,1,1,1,1,1,1,2,7,1,2
"21658",38489,2,1,1,1,1,1,1,2,4,1,2
"21659",38490,1,1,1,1,1,1,1,2,5,1,4
"21660",38491,1,1,1,1,1,0,1,2,7,1,3
"21661",38492,1,1,1,1,1,1,1,2,5,1,1
"21662",38493,1,1,1,1,1,1,1,2,7,1,4
"21663",38495,1,1,1,1,1,0,1,2,5,1,3
"21664",38496,2,1,1,1,1,1,1,2,7,1,1
"21665",38497,1,1,1,1,1,1,1,2,7,1,1
"21666",38499,1,1,1,1,1,1,1,2,7,1,3
"21667",38501,2,1,1,1,1,1,1,2,5,1,1
"21668",38502,1,1,1,1,1,1,1,2,4,1,3
"21669",38503,1,1,1,1,1,0,1,2,1,1,1
"21670",38504,1,1,1,1,1,1,1,2,1,1,2
"21671",38505,1,1,1,0,0,0,0,2,6,0,2
"21672",38506,2,1,1,1,1,1,1,2,5,1,1
"21673",38507,1,1,1,0,0,1,1,2,7,1,1
"21674",38508,1,1,1,1,1,0,1,2,7,1,2
"21675",38509,2,1,1,1,1,1,0,2,1,1,2
"21676",38510,1,1,1,1,1,0,1,2,5,1,1
"21677",38511,1,1,1,0,1,0,1,2,6,1,1
