DIRECTORIO,SECUENCIA_P,ORDEN,P1165,P1164,P1178,P1178S1,P1163_1,P1163S1,P1163_2,P1163S2,P1163_3,P1163S3,P1163_4,P1163S4,P1162S1,P1162S1A1,P1162S1A2,P1162S2,P1162S2A1,P1162S2A2,P1162S3,P1162S3A1,P1162S3A2,P1162S4,P1162S4A1,P1162S4A2,P1162S5,P1162S5A1,P1162S5A2,P1162S6,P1162S6A1,P1162S6A2,F_EXP
38619,1,5,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,9,0,,,,1,2,0,,,,343.70841327
38621,1,4,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,12,0,,,,,,,,,,1650.9500407
38624,1,2,2,,,,1,24,,,,,,,,,,1,6,30,1,12,30,,,,,,,,,,350.64474943
38625,1,4,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,9,0,,,,,,,,,,244.64826681
38630,1,3,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,12,0,,,,,,,,,,226.8742613
38641,1,6,2,,,,1,24,,,,,,,,,,1,4,0,1,9,0,,,,,,,,,,370.27930667
38644,1,6,2,,,,1,24,,,,,,,1,4,0,1,10,0,1,10,0,,,,,,,,,,271.02533585
38653,1,3,1,2,2,,1,24,,,,,,,1,3,0,1,5,0,1,10,0,1,1,0,1,1,0,1,2,0,73.421772253
38666,1,3,1,3,2,,,,1,24,,,,,1,2,0,1,9,0,1,11,0,,,,,,,,,,467.34278063
38667,1,4,1,1,2,,1,24,,,,,,,1,3,0,1,2,0,1,10,0,1,1,0,,,,,,,255.16346495
38674,1,4,1,5,1,5,1,19,,,,,,,1,3,0,,,,1,11,0,1,1,0,,,,,,,473.1103153
38674,1,5,1,5,1,5,1,19,,,,,,,1,2,0,,,,1,11,0,1,1,0,,,,,,,473.1103153
38677,1,3,2,,,,1,24,,,,,,,1,3,0,1,2,0,1,10,0,,,,,,,,,,325.67460408
38683,1,4,2,,,,1,24,,,,,,,1,3,0,1,6,0,1,12,0,,,,,,,,,,307.50162075
38690,1,3,2,,,,1,24,,,,,,,1,1,0,1,2,0,1,10,0,,,,,,,,,,448.57997153
38690,1,4,2,,,,1,24,,,,,,,,,,1,3,0,1,12,0,,,,,,,,,,448.57997153
38700,1,3,2,,,,1,8,1,16,,,,,1,5,0,1,4,0,1,10,0,,,,1,5,0,,,,16.890949759
38702,1,3,2,,,,1,24,,,,,,,1,4,0,1,2,0,1,7,0,,,,,,,,,,214.88866404
38711,1,3,2,,,,1,24,,,,,,,1,3,0,1,2,0,1,9,0,1,2,0,,,,,,,265.00065938
38716,1,4,2,,,,1,24,,,,,,,1,4,0,1,5,0,1,10,0,,,,1,2,0,,,,329.2111223
38726,1,3,2,,,,1,24,,,,,,,,,,1,8,30,1,11,30,,,,,,,,,,503.00909347
38726,1,7,2,,,,1,14,1,10,,,,,,,,1,5,30,1,12,30,,,,,,,,,,503.00909347
38733,1,3,2,,,,1,24,,,,,,,1,2,0,1,7,0,1,10,0,,,,1,2,0,,,,487.6679845
38736,1,5,2,,,,1,24,,,,,,,,,,1,7,0,1,12,0,,,,,,,,,,369.81271413
38745,1,4,2,,,,1,24,,,,,,,1,3,0,1,10,0,1,10,0,,,,,,,,,,76.276708447
38754,1,4,2,,,,1,24,,,,,,,1,3,30,1,4,0,1,9,0,1,1,0,,,,,,,256.25331969
38764,1,4,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,9,0,,,,,,,,,,329.71235
38768,1,2,2,,,,1,24,,,,,,,,,,1,6,0,1,12,0,,,,,,,,,,232.04037313
38770,1,4,2,,,,1,24,,,,,,,1,0,30,1,4,0,1,10,0,,,,,,,,,,180.69538224
38774,1,6,2,,,,1,22,1,2,,,,,,,,1,0,30,1,13,0,1,3,0,1,7,0,,,,179.87459609
38776,1,3,1,5,2,,1,24,,,,,,,1,3,0,1,6,0,1,10,0,,,,,,,,,,307.04638221
38779,1,3,2,,,,1,24,,,,,,,,,,1,2,0,1,9,0,1,3,0,,,,,,,737.87573967
38781,1,2,1,2,2,,1,24,,,,,,,1,2,0,1,2,0,1,10,0,,,,,,,,,,311.38341541
38793,1,3,1,5,1,3,1,24,,,,,,,1,1,0,1,4,0,1,10,0,1,1,0,1,2,0,,,,267.26661231
38797,1,3,2,,,,1,12,1,12,,,,,1,3,0,1,5,0,1,12,0,,,,,,,,,,184.76543439
38809,1,3,2,,,,1,24,,,,,,,,,,1,8,0,1,9,0,,,,,,,,,,389.71542537
38821,2,3,1,1,1,4,1,20,,,,,,,,,,1,2,0,1,4,0,,,,,,,,,,215.95656175
38832,1,3,1,2,2,,1,24,,,,,,,,,,1,3,0,1,10,0,1,3,0,,,,,,,289.8909757
38837,1,3,2,,,,1,24,,,,,,,,,,1,1,0,1,10,0,,,,,,,,,,717.35284887
38840,1,3,1,2,2,,1,24,,,,,,,,,,1,5,0,1,8,0,1,1,0,,,,,,,247.48616738
38845,1,4,2,,,,1,24,,,,,,,1,1,0,1,8,0,1,12,0,1,1,0,,,,,,,326.78316475
38854,1,3,1,1,1,1,1,16,,,,,,,,,,1,3,0,1,10,0,1,0,30,,,,,,,330.07870927
38859,1,5,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,12,0,,,,,,,,,,2414.7912386
38864,1,3,2,,,,1,24,,,,,,,1,3,0,,,,1,5,0,,,,,,,,,,537.70614647
38876,1,4,2,,,,1,24,,,,,,,1,2,0,1,7,0,1,10,0,1,0,10,,,,,,,290.14311033
38883,1,4,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,11,0,,,,,,,,,,409.57897267
38890,1,4,1,3,2,,1,24,,,,,,,1,2,0,1,8,0,1,12,0,1,1,0,,,,,,,632.8324965
38908,1,4,2,,,,1,24,,,,,,,,,,1,2,0,1,12,0,,,,,,,,,,330.97926446
38910,2,3,2,,,,1,24,,,,,,,,,,1,3,0,1,14,0,,,,1,2,0,,,,95.116495027
38927,2,4,1,2,2,,1,24,,,,,,,1,0,30,1,7,0,1,10,0,1,1,0,1,1,0,,,,309.29839621
38934,1,6,2,,,,1,24,,,,,,,,,,1,1,0,1,10,0,,,,,,,,,,310.13752883
38943,1,5,1,4,1,2,1,24,,,,,,,1,4,0,1,4,0,1,9,0,1,2,0,1,2,0,,,,130.15607705
38950,1,4,1,1,2,,1,24,,,,,,,,,,1,8,0,1,15,0,1,1,0,,,,,,,468.08641
38954,1,5,2,,,,1,24,,,,,,,1,2,0,1,4,0,,,,,,,,,,,,,114.84261556
38963,1,3,1,2,2,,1,24,,,,,,,1,2,0,1,6,0,1,12,0,1,1,0,1,1,30,,,,412.46164507
38975,1,5,1,2,2,,1,24,,,,,,,1,3,0,1,1,0,1,10,0,1,0,30,1,1,0,,,,727.71021493
38975,1,6,1,2,2,,1,24,,,,,,,1,1,0,1,2,0,1,10,30,,,,,,,,,,727.71021493
38986,1,2,1,1,2,,1,19,1,3,,,,,1,2,0,1,6,0,1,10,0,1,1,0,1,2,0,,,,130.87908246
38991,1,3,1,5,2,,1,24,,,,,,,1,3,0,1,2,0,1,10,0,,,,1,4,0,,,,363.18879173
38991,1,4,2,,,,1,24,,,,,,,,,,1,4,0,1,10,0,1,5,0,,,,,,,363.18879173
39012,1,6,2,,,,1,24,,,,,,,,,,1,1,0,1,14,0,,,,,,,,,,879.4672598
39014,1,3,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,12,0,1,2,0,,,,,,,439.73837327
39014,1,4,2,,,,1,24,,,,,,,,,,,,,1,18,0,,,,,,,,,,439.73837327
39018,1,4,2,,,,1,24,,,,,,,,,,1,2,0,1,12,0,,,,,,,,,,720.55846083
39027,1,4,2,,,,1,24,,,,,,,,,,1,6,0,1,9,0,,,,,,,,,,537.35784553
39031,1,3,2,,,,,,1,8,,,,,1,2,0,1,2,30,,,,,,,,,,,,,596.55175227
39040,1,2,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,12,0,1,3,0,1,1,0,,,,417.1186554
39049,1,5,1,1,2,,1,24,,,,,,,1,2,0,1,4,0,1,9,0,,,,1,2,0,,,,257.1001041
39058,1,3,2,,,,1,24,,,,,,,,,,1,2,0,1,10,0,,,,,,,,,,312.15742228
39062,1,3,2,,,,1,24,,,,,,,,,,1,5,0,1,12,0,,,,,,,,,,295.64689248
39065,1,8,2,,,,1,24,,,,,,,1,1,0,1,8,0,1,12,0,,,,,,,,,,197.40548453
39068,1,3,1,3,2,,1,18,1,6,,,,,1,6,0,1,3,0,1,10,0,1,2,0,1,2,0,1,2,0,255.94913976
39068,1,4,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,20,0,,,,,,,,,,255.94913976
39076,3,3,2,,,,1,24,,,,,,,1,2,0,1,2,0,,,,,,,,,,,,,247.37785795
39076,3,4,2,,,,1,24,,,,,,,,,,,,,1,8,0,,,,,,,,,,247.37785795
39078,1,3,1,1,2,,1,24,,,,,,,1,1,0,1,5,0,1,10,0,1,1,0,,,,1,1,0,190.11356999
39083,1,4,2,,,,1,24,,,,,,,1,1,0,1,5,0,1,12,0,1,1,0,1,4,0,,,,504.32555387
39097,1,6,2,,,,1,24,,,,,,,,,,1,2,0,1,12,0,,,,,,,,,,384.79380827
39105,1,7,2,,,,1,24,,,,,,,1,0,30,1,2,30,1,11,0,,,,,,,,,,656.46964673
39106,1,5,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,8,0,,,,,,,,,,259.24361349
39112,1,4,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,10,0,,,,,,,,,,319.1158844
39117,1,3,1,5,2,,1,24,,,,,,,1,3,0,1,3,0,1,10,0,,,,1,0,30,,,,399.5590625
39119,1,4,2,,,,1,24,,,,,,,1,2,0,,,,1,6,0,,,,,,,,,,679.20146113
39119,1,5,2,,,,1,24,,,,,,,1,2,0,,,,1,7,0,,,,,,,,,,679.20146113
39133,1,5,1,1,2,,1,24,,,,,,,,,,1,8,0,1,12,0,,,,,,,,,,205.94561952
39142,1,4,1,2,2,,1,24,,,,,,,1,4,0,1,5,0,1,12,0,1,3,0,,,,,,,511.12630127
39205,1,4,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,10,0,1,4,0,1,1,0,,,,310.95140656
39215,1,3,2,,,,1,24,,,,,,,1,1,0,1,5,0,1,10,0,1,1,0,1,3,0,,,,123.49066943
39226,1,3,2,,,,1,24,,,,,,,1,3,0,1,6,0,1,10,0,1,2,0,1,3,0,,,,483.76168333
39234,1,4,2,,,,1,24,,,,,,,,,,,,,1,2,0,,,,,,,,,,634.5671597
39238,1,4,1,2,2,,1,24,,,,,,,1,2,0,1,2,0,1,12,0,,,,,,,,,,794.73565283
39238,1,5,1,1,2,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,794.73565283
39242,1,3,2,,,,1,24,,,,,,,1,3,0,1,2,0,1,12,0,,,,,,,,,,704.65341523
39249,1,4,1,5,1,3,1,24,,,,,,,1,3,0,1,4,0,1,10,0,1,1,0,,,,,,,354.4403727
39255,1,4,2,,,,1,24,,,,,,,1,3,0,1,4,0,1,10,0,,,,1,4,0,,,,476.08920797
39266,1,6,2,,,,1,24,,,,,,,1,1,0,1,2,0,1,12,0,,,,,,,,,,149.33409668
39269,1,7,2,,,,1,24,,,,,,,,,,,,,1,8,0,1,2,0,,,,,,,621.93125983
39270,1,4,2,,,,1,24,,,,,,,,,,1,3,0,1,10,0,1,1,30,,,,,,,465.45578913
39285,1,5,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,12,0,,,,,,,,,,528.90942443
39301,1,2,2,,,,1,24,,,,,,,,,,1,4,0,1,8,30,,,,,,,,,,234.31800081
39306,1,4,2,,,,,,1,22,,,,,1,4,0,1,14,0,1,6,0,,,,,,,,,,225.81153356
39309,1,3,2,,,,1,24,,,,,,,,,,,,,1,12,30,,,,,,,,,,440.16154887
39314,1,4,1,5,1,2,1,24,,,,,,,1,4,0,1,8,0,1,8,0,,,,1,2,0,,,,250.85417272
39314,1,5,2,,,,1,24,,,,,,,,,,1,12,0,1,12,0,,,,,,,,,,250.85417272
39321,1,3,2,,,,1,24,,,,,,,1,1,0,1,1,0,1,12,0,,,,,,,,,,358.2177163
39324,1,5,1,2,1,4,1,24,,,,,,,,,,1,8,0,1,10,0,,,,,,,,,,690.2059622
39329,1,3,1,1,2,,1,24,,,,,,,1,4,0,,,,1,5,0,1,1,0,,,,,,,260.79180532
39354,1,4,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,1,0,1,2,0,,,,,,,431.16937867
39361,1,6,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,10,0,,,,,,,,,,246.27975433
39371,1,4,2,,,,1,23,,,,,,,1,5,0,1,4,0,1,11,0,1,0,30,,,,,,,269.82269071
39373,1,5,2,,,,1,24,,,,,,,,,,,,,1,6,0,,,,,,,,,,332.64648821
39389,1,3,1,1,2,,,,1,24,,,,,1,1,0,1,1,0,,,,,,,,,,,,,361.35375073
39389,1,4,1,1,2,,,,1,24,,,,,1,2,0,1,2,0,1,5,0,,,,,,,,,,361.35375073
39396,1,6,2,,,,1,24,,,,,,,1,3,0,1,6,0,1,9,0,1,1,0,,,,,,,187.52842766
39416,1,3,2,,,,1,24,,,,,,,1,3,0,,,,1,7,0,,,,,,,,,,257.81026063
39428,1,3,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,10,0,,,,,,,,,,414.81148363
39432,1,7,2,,,,1,24,,,,,,,1,2,0,1,4,0,1,10,0,,,,,,,,,,332.71914365
39446,1,3,2,,,,1,24,,,,,,,1,1,30,1,2,0,1,12,0,,,,,,,,,,604.23173937
39453,1,3,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,11,0,,,,,,,,,,334.72881247
39467,1,3,2,,,,1,24,,,,,,,,,,1,3,0,,,,1,2,0,,,,,,,429.55548597
39467,1,4,2,,,,1,24,,,,,,,,,,1,10,0,,,,,,,,,,,,,429.55548597
39477,1,3,2,,,,1,24,,,,,,,1,4,0,1,2,0,1,11,0,,,,,,,,,,442.30805437
39477,1,5,2,,,,1,24,,,,,,,1,3,0,1,2,0,1,14,0,,,,,,,,,,442.30805437
39486,1,6,1,5,1,2,1,24,,,,,,,1,4,0,1,5,0,1,9,0,1,1,0,1,1,0,1,1,0,45.877462803
39486,1,7,2,,,,1,24,,,,,,,1,3,0,1,6,0,1,12,0,1,0,30,1,2,0,,,,45.877462803
39495,1,3,1,2,2,,1,24,,,,,,,1,3,0,,,,1,8,0,1,0,30,,,,,,,420.40512383
39495,1,4,1,2,2,,1,24,,,,,,,1,2,0,1,3,0,1,9,0,,,,,,,,,,420.40512383
39503,1,4,2,,,,1,24,,,,,,,1,5,0,1,4,0,1,12,0,1,3,0,,,,,,,418.69608103
39530,1,4,2,,,,1,12,,,,,,,,,,1,1,0,1,9,0,,,,,,,,,,258.28531485
39535,1,4,2,,,,1,24,,,,,,,,,,,,,1,6,0,,,,,,,,,,421.43164983
39549,1,4,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,12,0,,,,,,,,,,374.15730927
39551,1,3,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,12,0,,,,,,,,,,365.91116117
39566,1,3,1,5,2,,1,14,1,2,,,,,,,,1,4,0,1,10,0,1,1,0,1,1,0,,,,348.3302573
39572,1,4,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,587.1726502
39577,1,2,2,,,,1,14,,,,,1,10,,,,1,1,0,1,15,0,,,,,,,,,,324.6549222
39579,1,5,1,1,2,,1,24,,,,,,,1,2,0,1,3,0,1,9,0,1,1,0,,,,,,,410.66608777
39593,1,4,2,,,,1,24,,,,,,,,,,1,3,0,1,12,0,,,,,,,,,,471.43488547
39595,1,2,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,11,0,,,,,,,,,,303.01126072
39604,1,4,2,,,,1,24,,,,,,,1,2,0,,,,,,,,,,,,,,,,389.6402968
39613,1,4,1,4,2,,1,24,,,,,,,,,,1,8,0,1,10,0,1,2,0,,,,,,,404.9200807
39615,1,3,2,,,,1,24,,,,,,,1,1,30,1,5,0,1,10,0,,,,,,,,,,255.50668216
39615,1,4,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,12,0,,,,,,,,,,255.50668216
39621,1,3,2,,,,1,11,1,13,,,,,1,2,0,1,8,0,1,14,0,,,,,,,,,,417.68989007
39627,1,6,2,,,,1,24,,,,,,,1,0,20,,,,1,12,0,1,1,0,,,,,,,369.9193971
39645,1,5,2,,,,1,16,1,8,,,,,1,5,30,1,2,0,1,10,30,,,,,,,,,,316.83297826
39670,1,3,2,,,,1,24,,,,,,,,,,1,3,0,1,12,0,,,,,,,,,,306.42470838
39691,1,4,1,5,2,,1,24,,,,,,,1,2,0,1,5,0,1,11,0,,,,1,1,0,,,,131.32590918
39706,1,5,1,5,2,,1,20,,,,,,,1,1,0,1,2,0,1,10,0,1,0,30,,,,,,,392.34865477
39714,1,3,2,,,,1,24,,,,,,,,,,1,4,0,1,9,0,,,,,,,,,,424.72053073
39716,1,5,2,,,,1,24,,,,,,,1,1,0,1,3,0,1,10,0,,,,,,,,,,306.60042313
39717,1,5,2,,,,,,1,6,,,,,,,,,,,1,7,0,,,,,,,,,,173.61659375
39729,2,5,2,,,,1,24,,,,,,,,,,1,3,0,1,10,0,1,0,30,,,,,,,864.881386
39733,1,5,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,10,0,,,,1,3,0,,,,421.6433915
39734,1,4,2,,,,1,24,,,,,,,1,2,0,1,2,8,1,8,0,1,2,0,,,,,,,228.03112997
39746,1,3,2,,,,1,20,1,4,,,,,1,1,0,1,3,0,1,10,0,1,2,0,1,1,0,,,,160.53044802
39771,1,4,2,,,,1,24,,,,,,,1,2,0,1,8,0,1,13,58,,,,,,,,,,50.692535683
39794,1,5,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,9,0,1,0,15,,,,1,0,30,633.08023937
39806,1,7,2,,,,1,24,,,,,,,,,,1,12,0,1,11,0,,,,,,,,,,388.2382241
39814,1,4,2,,,,1,24,,,,,,,1,1,0,1,8,0,1,8,0,1,0,20,,,,,,,677.71615817
39822,1,3,1,5,2,,1,24,,,,,,,1,4,0,,,,,,,1,2,0,,,,,,,294.27742344
39826,1,4,1,1,2,,1,24,,,,,,,,,,1,5,0,1,12,0,,,,1,2,0,,,,444.28788773
39846,1,4,2,,,,1,24,,,,,,,1,1,0,1,3,0,1,9,0,,,,,,,,,,509.4901565
39862,1,3,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,656.36032337
39869,1,3,2,,,,1,22,,,,,1,2,,,,1,1,0,1,16,0,,,,,,,,,,394.99836713
39872,1,3,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,400.1800836
39876,1,4,1,4,2,,1,24,,,,,,,1,1,0,1,2,0,1,9,0,1,0,30,,,,,,,662.82989823
39894,1,4,2,,,,,,1,5,,,,,1,8,0,1,3,0,1,10,0,,,,,,,,,,694.75699677
39894,1,5,2,,,,1,19,1,5,,,,,1,0,30,1,12,0,1,10,0,,,,,,,,,,694.75699677
39898,1,5,2,,,,1,16,1,8,,,,,,,,,,,1,12,0,,,,,,,,,,467.0760735
39906,1,4,2,,,,1,24,,,,,,,1,4,0,1,0,30,1,9,0,1,1,0,1,0,15,,,,450.4959787
39906,1,5,2,,,,1,24,,,,,,,1,4,0,1,0,30,1,10,0,1,1,0,,,,,,,450.4959787
39908,1,4,2,,,,1,24,,,,,,,1,1,0,,,,1,2,0,,,,,,,,,,226.44809357
39915,1,6,2,,,,1,24,,,,,,,1,2,0,1,10,0,1,9,0,1,3,0,,,,,,,211.13786138
39948,1,3,2,,,,1,12,,,,,,,1,1,0,1,6,0,1,8,0,1,1,0,,,,,,,148.32494162
39952,1,4,1,5,1,5,1,16,1,8,,,,,1,1,0,1,4,0,1,10,0,1,1,0,1,1,0,,,,327.80063571
39964,1,4,2,,,,1,24,,,,,,,,,,,,,1,15,30,,,,,,,,,,410.68794897
39964,1,7,2,,,,1,24,,,,,,,,,,1,2,30,1,14,30,,,,,,,,,,410.68794897
39971,1,5,1,4,2,,1,24,,,,,,,1,2,0,1,3,0,1,10,0,1,0,30,,,,,,,356.79409913
39972,1,5,2,,,,1,24,,,,,,,1,5,0,1,9,0,1,10,0,,,,,,,,,,264.24238901
39975,1,3,2,,,,1,22,,,,,,,1,4,0,1,5,0,1,12,0,,,,,,,,,,531.80820073
39977,1,7,2,,,,1,24,,,,,,,,,,1,4,0,1,16,0,,,,,,,,,,270.69524102
39979,1,3,1,5,2,,1,24,,,,,,,1,4,0,1,6,0,1,10,0,1,1,0,1,1,0,1,2,0,82.88475197
39979,1,4,1,5,2,,1,24,,,,,,,1,4,0,1,5,0,1,12,0,1,0,30,1,1,0,1,1,0,82.88475197
39981,1,4,2,,,,1,24,,,,,,,,,,,,,1,12,30,,,,,,,,,,472.5392894
39985,1,3,1,2,2,,1,24,,,,,,,1,7,0,1,6,0,1,10,30,,,,,,,,,,43.330960443
39997,1,6,1,1,1,1,1,24,,,,,,,1,1,0,1,3,0,1,14,0,1,0,10,,,,,,,1140.5543974
40000,1,3,2,,,,1,24,,,,,,,1,0,35,1,1,0,,,,,,,,,,,,,271.94998538
40005,1,6,1,5,1,8,1,16,,,,,,,1,2,0,1,6,0,1,10,0,,,,,,,,,,195.38694802
40007,1,3,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,10,0,,,,,,,,,,355.81499343
40009,1,5,2,,,,1,24,,,,,,,1,3,0,1,2,0,1,8,0,1,0,30,,,,,,,427.01431157
40010,1,4,2,,,,1,23,,,,,,,1,4,0,1,5,0,,,,,,,,,,,,,274.50376
40011,1,4,1,1,2,,1,24,,,,,,,1,1,0,1,3,0,1,9,0,1,2,0,,,,,,,334.13742523
40011,1,5,1,3,2,,1,24,,,,,,,,,,1,2,0,1,9,0,1,2,0,,,,,,,334.13742523
40013,1,3,1,2,2,,1,6,1,18,,,,,1,2,0,1,8,0,1,13,55,,,,,,,,,,56.028207813
40033,1,4,2,,,,1,24,,,,,,,1,6,0,1,5,0,1,10,0,,,,,,,,,,335.6572646
40035,1,3,2,,,,1,24,,,,,,,1,4,0,,,,1,6,0,,,,,,,,,,349.20644033
40038,1,4,1,1,2,,1,24,,,,,,,1,3,0,1,6,0,1,10,30,,,,,,,,,,357.9565394
40039,1,5,2,,,,1,24,,,,,,,,,,1,5,0,1,14,0,1,1,0,,,,1,2,0,78.982397687
40041,1,3,1,1,2,,1,24,,,,,,,1,2,0,1,2,0,1,12,0,,,,,,,,,,341.09312677
40045,1,3,1,1,1,5,1,19,,,,,,,,,,1,1,0,1,8,0,,,,,,,,,,195.98558028
40048,1,6,2,,,,1,24,,,,,,,1,2,0,1,2,0,1,10,0,1,0,30,,,,,,,436.23463653
40085,1,4,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,10,0,,,,,,,,,,334.41304373
40089,1,5,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,8,0,,,,,,,,,,543.4681265
40102,1,3,1,3,2,,1,16,1,8,,,,,1,3,0,1,4,0,1,11,0,1,1,0,1,1,0,,,,227.24064724
40125,1,3,2,,,,1,24,,,,,,,1,6,0,1,4,0,1,10,0,1,2,0,1,2,0,,,,673.1243331
40144,1,6,2,,,,1,24,,,,,,,1,2,0,1,6,0,,,,,,,,,,,,,342.36250177
40166,1,5,1,4,2,,1,24,,,,,,,1,0,30,1,1,0,1,10,0,,,,,,,,,,301.29147113
40166,1,6,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,301.29147113
40182,1,4,2,,,,1,24,,,,,,,1,2,0,1,3,0,,,,1,2,0,,,,,,,213.8969593
40196,1,4,2,,,,1,22,,,,,1,2,1,5,0,1,5,0,1,10,0,,,,1,0,30,,,,214.75162812
40202,1,4,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,3,0,,,,,,,,,,359.36110203
40208,1,3,2,,,,1,24,,,,,,,,,,1,6,0,1,16,0,1,0,20,1,2,0,,,,432.0139835
40211,1,4,2,,,,1,24,,,,,,,1,3,0,1,5,0,1,12,0,1,4,0,,,,,,,329.90980734
40216,1,3,2,,,,1,24,,,,,,,1,5,0,1,6,0,1,14,0,1,0,10,,,,,,,405.6145527
40226,1,4,2,,,,1,24,,,,,,,1,3,0,1,6,0,,,,,,,,,,,,,458.9747993
40232,1,3,2,,,,1,24,,,,,,,1,2,0,1,5,0,1,8,0,,,,,,,,,,329.72870329
40236,1,3,2,,,,1,24,,,,,,,,,,1,3,0,,,,,,,,,,,,,405.33292717
40242,1,3,1,1,2,,1,12,,,,,,,1,2,0,1,5,0,1,12,30,1,0,30,,,,,,,213.04958352
40243,1,5,2,,,,1,24,,,,,,,1,4,0,1,4,0,1,2,0,,,,,,,,,,233.97769327
40256,1,4,2,,,,1,24,,,,,,,1,3,0,1,6,0,,,,,,,,,,,,,111.87176746
40256,1,5,2,,,,1,24,,,,,,,,,,1,9,0,1,3,0,,,,,,,,,,111.87176746
40257,1,5,1,3,2,,1,24,,,,,,,1,6,0,1,8,0,1,10,0,,,,,,,,,,418.565028
40263,1,3,2,,,,1,24,,,,,,,,,,1,4,0,1,3,0,,,,,,,,,,291.24905872
40274,1,6,2,,,,1,24,,,,,,,1,2,0,,,,1,3,0,1,3,0,,,,,,,352.79986873
40289,1,5,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,9,0,,,,,,,,,,290.76228656
40304,1,4,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,8,0,1,2,0,,,,,,,320.38735747
40330,1,3,2,,,,1,24,,,,,,,,,,1,2,0,1,9,0,,,,,,,,,,345.77037467
40341,1,4,2,,,,1,24,,,,,,,,,,1,8,0,1,12,0,,,,,,,,,,78.920953373
40352,1,8,1,3,2,,1,24,,,,,,,1,6,0,1,8,0,1,10,0,,,,,,,,,,407.26648233
40352,1,9,1,3,2,,1,24,,,,,,,1,6,0,1,8,0,1,10,0,,,,,,,,,,407.26648233
40363,1,3,2,,,,1,20,1,4,,,,,,,,1,3,20,1,10,30,,,,,,,,,,626.45063083
40373,1,4,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,13,0,1,0,10,,,,1,2,0,607.61735243
40373,1,5,2,,,,1,24,,,,,,,,,,,,,1,18,0,,,,,,,,,,607.61735243
40385,1,4,2,,,,1,24,,,,,,,1,3,0,1,3,0,1,7,0,,,,,,,,,,232.28416829
40388,1,3,2,,,,1,24,,,,,,,1,1,30,1,7,0,1,12,0,,,,1,2,0,,,,319.33376845
40395,1,4,2,,,,1,24,,,,,,,1,4,0,1,4,0,1,12,0,1,1,0,,,,,,,269.89436598
40404,1,5,1,2,2,,1,24,,,,,,,1,3,0,1,3,0,1,10,0,1,3,0,,,,,,,267.47975668
40409,1,4,2,,,,1,24,,,,,,,1,1,0,1,5,0,1,12,30,,,,,,,,,,396.33672167
40418,1,4,2,,,,1,24,,,,,,,1,5,0,1,3,0,1,14,0,,,,,,,,,,587.5550554
40446,1,5,2,,,,1,24,,,,,,,1,3,0,1,4,0,1,9,0,1,3,0,,,,,,,262.76009916
40454,1,3,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,8,0,,,,,,,,,,295.72218454
40455,1,4,2,,,,1,24,,,,,,,1,3,0,1,4,0,1,8,0,,,,,,,,,,233.14274907
40466,1,4,2,,,,1,24,,,,,,,,,,,,,1,15,0,,,,,,,,,,341.54176407
40480,1,3,1,2,1,2,1,24,,,,,,,1,2,0,1,4,0,1,11,0,1,1,0,,,,,,,196.88143922
40485,1,2,2,,,,1,24,,,,,,,1,1,0,1,1,0,1,14,0,1,1,30,1,0,30,,,,300.51386589
40487,1,4,2,,,,1,24,,,,,,,,,,1,5,30,1,4,0,,,,,,,,,,358.46441163
