DIRECTORIO,SECUENCIA_P,ORDEN,P1165,P1164,P1178,P1178S1,P1163_1,P1163S1,P1163_2,P1163S2,P1163_3,P1163S3,P1163_4,P1163S4,P1162S1,P1162S1A1,P1162S1A2,P1162S2,P1162S2A1,P1162S2A2,P1162S3,P1162S3A1,P1162S3A2,P1162S4,P1162S4A1,P1162S4A2,P1162S5,P1162S5A1,P1162S5A2,P1162S6,P1162S6A1,P1162S6A2,F_EXP
2735,1,4,2,,,,1,20,,,,,,,,,,1,2,0,1,3,0,,,,,,,,,,264.99837359
2736,1,3,2,,,,1,24,,,,,,,,,,1,4,0,1,10,0,,,,,,,,,,536.8701853
2743,1,5,2,,,,1,24,,,,,,,,,,1,8,0,1,12,0,,,,,,,,,,227.26627004
2751,1,3,2,,,,1,24,,,,,,,1,6,0,1,5,0,1,12,0,1,1,0,,,,,,,446.79912667
2776,1,4,2,,,,1,24,,,,,,,1,5,0,1,5,0,1,10,0,1,3,0,,,,,,,409.72217967
2776,1,5,2,,,,1,24,,,,,,,1,7,0,,,,1,16,0,,,,,,,,,,409.72217967
2782,1,6,1,2,2,,1,24,,,,,,,1,2,0,1,2,0,1,9,0,1,1,0,,,,,,,186.2888453
2821,1,3,2,,,,1,24,,,,,,,1,5,0,1,6,0,1,12,0,1,1,0,,,,,,,471.56139817
2823,1,8,2,,,,1,21,,,,,1,3,,,,1,6,0,1,14,0,,,,,,,,,,268.74676018
2825,1,3,2,,,,1,24,,,,,,,,,,1,4,0,1,1,45,,,,,,,,,,268.42121993
2839,1,4,2,,,,1,24,,,,,,,1,2,0,1,6,0,1,10,0,,,,,,,,,,410.8499308
2844,1,2,2,,,,1,24,,,,,,,,,,1,4,0,,,,,,,,,,,,,610.57899937
2849,1,7,2,,,,1,24,,,,,,,1,2,0,1,4,0,1,8,0,1,0,15,,,,,,,541.5074491
2863,1,3,2,,,,1,24,,,,,,,1,1,0,1,8,0,1,13,0,1,0,30,,,,,,,152.92549416
2866,1,5,1,1,2,,1,24,,,,,,,1,2,30,,,,1,10,10,1,1,30,1,0,30,,,,552.02170027
